iter	Passed	Remaining
373	3164	5296
374	3170	5283
375	3177	5273
376	3182	5259
377	3187	5244
378	3193	5232
379	3198	5218
380	3203	5205
381	3209	5191
382	3215	5179
383	3220	5166
384	3227	5155
385	3232	5141
386	3237	5127
387	3243	5115
388	3248	5101
389	3252	5087
390	3258	5075
391	3263	5062
392	3268	5048
393	3278	5041
394	3282	5027
395	3287	5014
396	3293	5002
397	3298	4988
398	3304	4976
399	3311	4967
400	3316	4954
401	3322	4941
402	3328	4931
403	3335	4920
404	3340	4907
405	3345	4894
406	3350	4881
407	3355	4869
408	3360	4856
409	3365	4842
410	3371	4831
411	3376	4819
412	3381	4806
413	3387	4794
414	3392	4782
415	3397	4769
416	3403	4758
417	3408	4745
418	3413	4732
419	3418	4720
420	3425	4710
421	3430	4699
422	3438	4690
423	3443	4677
424	3449	4667
425	3455	4656
426	3461	4644
427	3468	4634
428	3472	4622
429	3477	4610
430	3485	4601
431	3490	4589
432	3495	4577
433	3501	4566
434	3506	4554
435	3511	4542
436	3517	4531
437	3523	4520
438	3528	4509
439	3534	4498
440	3540	4488
441	3546	4477
442	3551	4465
443	3556	4453
444	3562	4443
445	3567	4431
446	3572	4419
447	3578	4408
448	3583	4397
449	3587	4385
450	3597	4379
451	3602	4368
452	3608	4356
453	3614	4346
454	3618	4334
455	3623	4322
456	3628	4311
457	3635	4301
458	3640	4290
459	3645	4279
460	3650	4267
461	3655	4256
462	3663	4248
463	3669	4239
464	3679	4233
465	3684	4222
466	3690	4211
467	3695	4200
468	3699	4189
469	3704	4177
470	3710	4167
471	3715	4155
472	3764	4194
473	3811	4229
474	3842	4247
475	3873	4263
476	3903	4280
477	3932	4294
478	3973	4321
479	4003	4337
480	4040	4359
481	4069	4373
482	4100	4388
483	4127	4400
484	4159	4417
485	4192	4433
486	4203	4428
487	4218	4425
488	4224	4414
489	4232	4404
490	4253	4409
491	4285	4425
492	4321	4444
493	4361	4467
494	4391	4479
495	4430	4501
496	4461	4515
497	4491	4527
498	4523	4541
499	4555	4555
500	4592	4573
501	4641	4604
502	4691	4635
503	4705	4630
504	4712	4618
505	4721	4609
506	4727	4597
507	4735	4586
508	4741	4574
509	4750	4564
510	4757	4552
511	4773	4550
512	4791	4548
513	4802	4540
514	4808	4528
515	4815	4517
516	4823	4506
517	4831	4495
518	4837	4483
519	4845	4473
520	4851	4460
521	4862	4452
522	4871	4442
523	4877	4430
524	4883	4418
525	4891	4408
526	4900	4398
527	4906	4386
528	4913	4374
529	4919	4362
530	4926	4351
531	4932	4339
532	4938	4326
533	4945	4315
534	4951	4303
535	4958	4292
536	4964	4279
537	4970	4268
538	4977	4257
539	4987	4248
540	4994	4237
541	5000	4225
542	5007	4214
543	5013	4202
544	5019	4190
545	5026	4179
546	5031	4167
547	5038	4155
548	5045	4144
549	5050	4132
550	5056	4120
551	5061	4108
552	5067	4096
553	5072	4083
554	5076	4070
555	5082	4058
556	5089	4047
557	5095	4035
558	5100	4024
559	5107	4012
560	5113	4001
561	5121	3991
562	5127	3980
563	5136	3970
564	5141	3958
565	5147	3947
566	5153	3935
567	5159	3923
568	5166	3913
569	5172	3902
570	5178	3890
571	5184	3879
572	5200	3875
573	5205	3863
574	5211	3852
575	5218	3841
576	5223	3829
577	5231	3819
578	5237	3808
579	5243	3797
580	5249	3786
581	5255	3774
582	5261	3763
583	5266	3751
584	5272	3740
585	5278	3729
586	5284	3718
587	5291	3707
588	5299	3697
589	5304	3686
590	5311	3675
591	5317	3664
592	5322	3653
593	5332	3644
594	5337	3633
595	5344	3622
596	5349	3611
597	5354	3599
598	5361	3588
599	5366	3577
600	5371	3566
601	5379	3556
602	5384	3545
603	5390	3533
604	5396	3523
605	5402	3512
606	5413	3504
607	5418	3493
608	5424	3483
609	5430	3471
610	5435	3460
611	5441	3449
612	5446	3438
613	5451	3427
614	5457	3416
615	5462	3405
616	5467	3393
617	5475	3384
618	5480	3373
619	5486	3362
620	5491	3351
621	5498	3341
622	5504	3330
623	5509	3319
624	5514	3308
625	5524	3300
626	5529	3289
627	5536	3279
628	5541	3268
629	5546	3257
630	5552	3247
631	5558	3236
632	5563	3225
633	5569	3215
634	5574	3204
635	5579	3193
636	5585	3183
637	5593	3173
638	5598	3163
639	5604	3152
640	5610	3142
641	5618	3132
642	5624	3123
643	5630	3112
644	5636	3102
645	5641	3091
646	5648	3081
647	5653	3071
648	5658	3060
649	5664	3050
650	5670	3039
651	5675	3029
652	5681	3019
653	5688	3009
654	5693	2998
655	5699	2988
656	5705	2978
657	5710	2968
658	5716	2958
659	5722	2948
660	5733	2940
661	5738	2929
662	5744	2919
663	5749	2909
664	5754	2899
665	5765	2891
666	5770	2880
667	5776	2870
668	5782	2860
669	5787	2850
670	5793	2840
671	5799	2830
672	5805	2820
673	5812	2811
674	5817	2801
675	5823	2791
676	5828	2780
677	5833	2770
678	5843	2762
679	5848	2752
680	5853	2741
681	5860	2732
682	5865	2722
683	5870	2712
684	5876	2702
685	5881	2692
686	5886	2682
687	5892	2671
688	5898	2662
689	5903	2652
690	5910	2643
691	5915	2633
692	5922	2623
693	5927	2613
694	5932	2603
695	5938	2593
696	5943	2583
697	5951	2574
698	5958	2565
699	5964	2556
700	5971	2547
701	5976	2537
702	5981	2527
703	5987	2517
704	5992	2507
705	5997	2497
706	6003	2488
707	6009	2478
708	6015	2468
709	6021	2459
710	6026	2449
711	6031	2439
712	6037	2430
713	6042	2420
714	6053	2412
715	6059	2403
716	6065	2393
717	6070	2384
718	6076	2374
719	6081	2365
720	6087	2355
721	6091	2345
722	6097	2336
723	6103	2326
724	6110	2317
725	6116	2308
726	6121	2298
727	6125	2288
728	6133	2279
729	6137	2270
730	6142	2260
731	6148	2251
732	6153	2241
733	6158	2231
734	6166	2223
735	6171	2213
736	6177	2204
737	6183	2195
738	6188	2185
739	6195	2176
740	6201	2167
741	6206	2157
742	6211	2148
743	6218	2139
744	6223	2130
745	6230	2121
746	6235	2111
747	6240	2102
748	6247	2093
749	6252	2084
750	6261	2076
751	6266	2066
752	6271	2057
753	6277	2048
754	6282	2038
755	6286	2029
756	6293	2020
757	6298	2010
758	6303	2001
759	6307	1991
760	6314	1983
761	6320	1974
762	6326	1965
763	6331	1955
764	6336	1946
765	6346	1938
766	6351	1929
767	6357	1920
768	6362	1911
769	6366	1901
770	6377	1894
771	6381	1884
772	6385	1875
773	6390	1865
774	6393	1856
775	6407	1849
776	6435	1847
777	6467	1845
778	6496	1842
779	6532	1842
780	6567	1841
781	6599	1839
782	6629	1837
783	6662	1835
784	6692	1832
785	6730	1832
786	6761	1830
787	6789	1826
788	6817	1823
789	6844	1819
790	6868	1814
791	6877	1806
792	6884	1797
793	6891	1787
794	6898	1778
795	6907	1770
796	6913	1760
797	6943	1757
798	6973	1754
799	7008	1752
800	7051	1751
801	7091	1750
802	7145	1752
803	7196	1754
804	7231	1751
805	7267	1749
806	7311	1748
807	7360	1748
808	7370	1740
809	7379	1730
810	7385	1721
811	7394	1711
812	7400	1702
813	7407	1692
814	7413	1682
815	7419	1673
816	7428	1664
817	7434	1654
818	7441	1644
819	7449	1635
820	7458	1626
821	7465	1616
822	7471	1606
823	7477	1597
824	7483	1587
825	7491	1578
826	7498	1568
827	7505	1559
828	7511	1549
829	7517	1539
830	7523	1530
831	7529	1520
832	7542	1512
833	7547	1502
834	7554	1492
835	7561	1483
836	7568	1473
837	7574	1464
838	7580	1454
839	7587	1445
840	7593	1435
841	7601	1426
842	7608	1416
843	7614	1407
844	7621	1397
845	7627	1388
846	7635	1379
847	7642	1369
848	7649	1360
849	7656	1351
850	7664	1341
851	7670	1332
852	7676	1322
853	7686	1314
854	7692	1304
855	7700	1295
856	7706	1285
857	7713	1276
858	7719	1267
859	7724	1257
860	7731	1248
861	7737	1238
862	7743	1229
863	7749	1219
864	7755	1210
865	7762	1201
866	7769	1191
867	7775	1182
868	7782	1173
869	7787	1163
870	7794	1154
871	7799	1144
872	7806	1135
873	7812	1126
874	7817	1116
875	7823	1107
876	7830	1098
877	7835	1088
878	7841	1079
879	7847	1070
880	7852	1060
881	7859	1051
882	7869	1042
883	7877	1033
884	7882	1024
885	7890	1015
886	7896	1005
887	7901	996
888	7907	987
889	7913	978
890	7918	968
891	7924	959
892	7931	950
893	7936	941
894	7943	931
895	7948	922
896	7955	913
897	7960	904
898	7966	895
899	7972	885
900	7978	876
901	7987	867
902	7993	858
903	7998	849
904	8005	840
905	8011	831
906	8018	822
907	8023	812
908	8029	803
909	8042	795
910	8048	786
911	8055	777
912	8065	768
913	8077	760
914	8087	751
915	8092	742
916	8099	733
917	8104	723
918	8109	714
919	8115	705
920	8121	696
921	8126	687
922	8133	678
923	8138	669
924	8142	660
925	8148	651
926	8154	642
927	8159	633
928	8165	624
929	8170	614
930	8175	605
931	8180	596
932	8190	588
933	8198	579
934	8203	570
935	8208	561
936	8216	552
937	8223	543
938	8229	534
939	8234	525
940	8239	516
941	8244	507
942	8250	498
943	8254	489
944	8261	480
945	8267	471
946	8272	462
947	8277	454
948	8284	445
949	8289	436
950	8295	427
951	8300	418
952	8305	409
953	8312	400
954	8317	391
955	8322	383
956	8328	374
957	8332	365
958	8338	356
959	8344	347
960	8348	338
961	8354	330
962	8360	321
963	8365	312
964	8371	303
965	8378	294
966	8384	286
967	8391	277
968	8396	268
969	8401	259
970	8408	251
971	8413	242
972	8419	233
973	8426	224
974	8431	216
975	8438	207
976	8443	198
977	8449	190
978	8456	181
979	8461	172
980	8467	163
981	8473	155
982	8480	146
983	8488	138
984	8494	129
985	8505	120
986	8511	112
987	8517	103
988	8522	94
989	8527	86
990	8533	77
991	8538	68
992	8543	60
993	8553	51
994	8559	43
995	8567	34
996	8572	25
997	8577	17
998	8582	8
999	8589	0
