iter	MultiClass
251	0.4382411345
252	0.4365246283
253	0.4347377506
254	0.433196189
255	0.4314056868
256	0.4299612294
257	0.4284989629
258	0.4268986792
259	0.4256123838
260	0.425287097
261	0.4232371538
262	0.4223461138
263	0.4209536084
264	0.4193832439
265	0.4180113995
266	0.4163708949
267	0.4151344534
268	0.4137671167
269	0.4126007964
270	0.4109151293
271	0.4095621188
272	0.4085938001
273	0.40705812
274	0.4052695387
275	0.4039712454
276	0.4018206554
277	0.4005336712
278	0.3991965599
279	0.3972130177
280	0.3963667048
281	0.3952398305
282	0.3942534866
283	0.3928705522
284	0.3915135069
285	0.3900297205
286	0.3886247765
287	0.3868106309
288	0.3851942113
289	0.3835779735
290	0.3819018056
291	0.3803883319
292	0.3794058742
293	0.3774799123
294	0.3764320066
295	0.3746069289
296	0.3742347363
297	0.3732081786
298	0.3719613108
299	0.3705096725
300	0.3692769396
301	0.3681872346
302	0.3663440345
303	0.3655321838
304	0.3642923351
305	0.3628533005
306	0.361218184
307	0.3596542063
308	0.358440584
309	0.3574526106
310	0.3557929739
311	0.3542733703
312	0.3531500325
313	0.3518674432
314	0.3509327799
315	0.3499279633
316	0.3485959812
317	0.347624495
318	0.3467050659
319	0.3459825564
320	0.3447096344
321	0.3433404969
322	0.3422426943
323	0.3411913123
324	0.3398362359
325	0.3389940011
326	0.3376145485
327	0.3366623088
328	0.3354542087
329	0.3347701217
330	0.3342255581
331	0.3334965452
332	0.3329709361
333	0.332165102
334	0.3310553086
335	0.3300825977
336	0.3292078213
337	0.3287879114
338	0.327281951
339	0.326318127
340	0.3253924083
341	0.323984198
342	0.3229146581
343	0.3217349898
344	0.3209945666
345	0.3204974568
346	0.3192078972
347	0.318259267
348	0.3174334833
349	0.3164184812
350	0.3159016268
351	0.3145036913
352	0.3136120876
353	0.3124869307
354	0.3120744965
355	0.3107965997
356	0.3101430042
357	0.3094008485
358	0.3085611552
359	0.3076334448
360	0.3064287039
361	0.3060726992
362	0.30489533
363	0.3045049814
364	0.3038886035
365	0.3033900928
366	0.3030430501
367	0.3021333766
368	0.3014705273
369	0.301130688
370	0.2999754886
371	0.2989250174
372	0.2983619517
373	0.2975242946
374	0.2963378328
375	0.2957212979
376	0.2947790199
377	0.2942120294
378	0.2938170361
379	0.2925415969
380	0.2915272936
381	0.290601515
382	0.290080093
383	0.2890063121
384	0.2881905481
385	0.2872037568
386	0.2863226105
387	0.2853790676
388	0.2846516153
389	0.2842826327
390	0.2833004547
391	0.2824833122
392	0.2815791468
393	0.2806404655
394	0.2799216131
395	0.2788462427
396	0.2779723548
397	0.277078814
398	0.276053118
399	0.2752203491
400	0.2743757689
401	0.2733701146
402	0.2725991219
403	0.2717835646
404	0.2710415026
405	0.2705316564
406	0.2698542326
407	0.2689078347
408	0.2684630991
409	0.2675228652
410	0.2671107344
411	0.2661514372
412	0.2654770783
413	0.2646659913
414	0.2636862179
415	0.2631142981
416	0.262210867
417	0.2618382129
418	0.2611005786
419	0.2604443719
420	0.2597047233
421	0.2593470633
422	0.2585962758
423	0.2579785456
424	0.2569898038
425	0.2561874138
426	0.2553695464
427	0.2545764862
428	0.2542789348
429	0.2538128649
430	0.2533732668
431	0.2527450087
432	0.2520184717
433	0.2514155249
434	0.2510357099
435	0.2504795503
436	0.2495642406
437	0.2487590969
438	0.2479538253
439	0.2476496343
440	0.2468774257
441	0.2466229294
442	0.2456317049
443	0.2446557587
444	0.2439576834
445	0.243110275
446	0.2423820358
447	0.2417815889
448	0.2411731531
449	0.2407210259
450	0.2400438632
451	0.239692309
452	0.2391119427
453	0.2385514629
454	0.2377040918
455	0.2373289117
456	0.2367556542
457	0.2363797163
458	0.2355779213
459	0.2351694356
460	0.234417718
461	0.2337158533
462	0.2333670521
463	0.2326834366
464	0.2321552626
465	0.2317109395
466	0.2310783866
467	0.2304783575
468	0.229988171
469	0.2296569197
470	0.2290794367
471	0.2285582155
472	0.2278637406
473	0.2274103264
474	0.2268863499
475	0.2261756419
476	0.2257654525
477	0.2251384528
478	0.2246570205
479	0.2238860246
480	0.2233315617
481	0.2230519515
482	0.2224764655
483	0.2219275664
484	0.2218145332
485	0.221532959
486	0.2210220458
487	0.2203587311
488	0.2198226427
489	0.2193076656
490	0.2189202951
491	0.2182467523
492	0.2175402638
493	0.2170963202
494	0.2165089627
495	0.2160019751
496	0.2153270723
497	0.2149859382
498	0.2144559782
499	0.2139962643
500	0.2135053046
501	0.2133950706
502	0.2128847098
503	0.2124101261
504	0.2120723126
505	0.211624065
506	0.211220528
507	0.2106357977
508	0.2103325942
509	0.2098243809
510	0.2093755603
511	0.2087982819
512	0.2081752895
513	0.2077951515
514	0.2073329725
515	0.2066520016
516	0.20608271
517	0.2053701672
518	0.2048731765
519	0.2044145995
520	0.2037753864
521	0.2032501302
522	0.2028888441
523	0.2024823016
524	0.2019895003
525	0.2014602893
526	0.2008352863
527	0.2003891608
528	0.1999307056
529	0.1994179319
530	0.1987270584
531	0.1984890139
532	0.1980347139
533	0.1976516484
534	0.1971659824
535	0.1967057262
536	0.1962793015
537	0.1957426933
538	0.1953891103
539	0.1950360562
540	0.1946581337
541	0.1941212283
542	0.193564705
543	0.1930655189
544	0.192722213
545	0.1922785317
546	0.1917798729
547	0.1914198086
548	0.1909376078
549	0.1904997036
550	0.1901436522
551	0.1897367461
552	0.1891935329
553	0.1889266374
554	0.1886943591
555	0.1883035656
556	0.1879494829
557	0.1875831352
558	0.1871854678
559	0.186959966
560	0.1866072621
561	0.1862691931
562	0.1857097689
563	0.1852209775
564	0.184774014
565	0.1843704507
566	0.1840471236
567	0.1836514222
568	0.1833642198
569	0.1829697357
570	0.1825692196
571	0.1822339617
572	0.1818998729
573	0.1816110143
574	0.181210681
575	0.1807510167
576	0.1803627077
577	0.1799735367
578	0.1796258011
579	0.1792230842
580	0.1789419058
581	0.1785988007
582	0.1782400985
583	0.1779515772
584	0.1777256399
585	0.1774761034
586	0.1770241995
587	0.1765853594
588	0.1762637812
589	0.1759957519
590	0.1755868804
591	0.1751367421
592	0.1747163962
593	0.1743121255
594	0.1739640387
595	0.1736987002
596	0.1734295621
597	0.173080323
598	0.1727496735
599	0.1725656538
600	0.1722258395
601	0.1718885194
602	0.1713946987
603	0.1712005174
604	0.1707502157
605	0.1704538029
606	0.1700884961
607	0.1699757428
608	0.1697009935
609	0.1692612861
610	0.1688942758
611	0.16837199
612	0.1679427296
613	0.1676831605
614	0.1673681772
615	0.1670647788
616	0.1667662001
617	0.1663459605
618	0.1661576715
619	0.1658171552
620	0.1654440687
621	0.1651339524
622	0.1648649814
623	0.1645120226
624	0.1641997711
625	0.1638719178
626	0.1634182753
627	0.1630397032
628	0.1627383696
629	0.1624427241
630	0.162035131
631	0.1616891043
632	0.1614208984
633	0.1611766597
634	0.1609446039
635	0.1605163229
636	0.1601744181
637	0.1598044269
638	0.1595785349
639	0.1593165502
640	0.1589847788
641	0.1585736549
642	0.1583692061
643	0.1580654568
644	0.1577813258
645	0.1574893596
646	0.1572364629
647	0.1568752356
648	0.1565940172
649	0.156241108
650	0.1560589509
651	0.1557691429
652	0.155483799
653	0.1552748366
654	0.1551377713
655	0.1547197434
656	0.1545470913
657	0.1543177093
658	0.1540196875
659	0.1538416947
660	0.1536207824
661	0.1532932735
662	0.1531263588
663	0.1528519944
664	0.1526169092
665	0.1524991577
666	0.1522976724
667	0.1520476024
668	0.1519025128
669	0.1517305883
670	0.1513935582
671	0.1511148901
672	0.1507641756
673	0.1503541459
674	0.1501035337
675	0.1498799304
676	0.1495357421
677	0.1492866518
678	0.1491070225
679	0.1489090511
680	0.1485847859
681	0.1483567345
682	0.1480670695
683	0.1477442059
684	0.1475106916
685	0.1473088806
686	0.1470252089
687	0.1467255897
688	0.1464595619
689	0.1461791017
690	0.1459807776
691	0.1456020707
692	0.1452675372
693	0.1450279886
694	0.1448787219
695	0.1447465487
696	0.1444995272
697	0.1442316289
698	0.1439819839
699	0.1436072567
700	0.1433808092
701	0.1431093344
702	0.1428595225
703	0.142604621
704	0.1424882664
705	0.142250526
706	0.1420255444
707	0.1416742283
708	0.1414368096
709	0.1411302627
710	0.1408514982
711	0.1405950316
712	0.1402869538
713	0.1400656863
714	0.1398192953
715	0.1395436
716	0.1393546374
717	0.1391063257
718	0.1388724038
719	0.1385900678
720	0.1384192438
721	0.1381202261
722	0.1379215355
723	0.1377016813
724	0.1374784939
725	0.1371733972
726	0.1369301374
727	0.1366773755
728	0.1364862598
729	0.1362979521
730	0.1360180855
731	0.1358082403
732	0.1355777405
733	0.1353049109
734	0.1350804866
735	0.1349066933
736	0.1346998771
737	0.1344040757
738	0.1342107395
739	0.1340406232
740	0.1337498568
741	0.1335733303
742	0.1333585967
743	0.1331684554
744	0.1330057078
745	0.1327899863
746	0.1325036521
747	0.1322983037
748	0.1321674853
749	0.1318862885
750	0.1316743513
751	0.131498224
752	0.1313877279
753	0.1312223236
754	0.1310740873
755	0.1308093958
756	0.1306454853
757	0.1304500569
758	0.1301689529
759	0.1299165461
760	0.1297819717
761	0.1296458314
762	0.1293827894
763	0.1291226527
764	0.1288439752
765	0.1287667026
766	0.1286035648
767	0.1283792608
768	0.1282382949
769	0.1280664943
770	0.1279571078
771	0.1277674155
772	0.1275851283
773	0.1273410127
774	0.1271122048
775	0.1270003113
776	0.1267697509
777	0.1265477542
778	0.1264253489
779	0.1262537101
780	0.126089286
781	0.1259223483
782	0.1258019794
783	0.1256118193
784	0.1253626262
785	0.1252466965
786	0.125057803
787	0.1249555484
788	0.1247406624
789	0.1245543307
790	0.1244808325
791	0.1242624329
792	0.1241075715
793	0.1239399456
794	0.1238018988
795	0.123526744
796	0.1233748654
797	0.123184173
798	0.1229664683
799	0.1227450223
800	0.1226204989
801	0.1224912529
802	0.1222891843
803	0.122138114
804	0.1219377608
805	0.1217275896
806	0.1215752878
807	0.1214202929
808	0.1212837872
809	0.1210534874
810	0.1209548951
811	0.1208401027
812	0.1206812171
813	0.1205474479
814	0.1203699507
815	0.120192248
816	0.1199707955
817	0.1198442705
818	0.1196449775
819	0.1194816622
820	0.1193536234
821	0.1192339581
822	0.119067427
823	0.1188868501
824	0.1186586604
825	0.118503978
826	0.118262629
827	0.1181720908
828	0.1179135578
829	0.1177225419
830	0.1176063144
831	0.1174380416
832	0.1173125094
833	0.1171899776
834	0.1170248333
835	0.1168604926
836	0.1167068653
837	0.1165955319
838	0.1164481001
839	0.1162892937
840	0.1162156226
841	0.1161278453
842	0.1159559536
843	0.1157685128
844	0.1155907808
845	0.1153973129
846	0.1152792291
847	0.1151272591
848	0.1149964051
849	0.1148722006
850	0.1147522367
851	0.114541962
852	0.114424142
853	0.1142807865
854	0.1141529965
855	0.1140125012
856	0.1137973381
857	0.1136088289
858	0.1133907539
859	0.113248212
860	0.1130737358
861	0.1129615523
862	0.1127668877
863	0.1126230809
864	0.1124939527
865	0.1123958725
866	0.1122208093
867	0.1120294399
868	0.1118889366
869	0.1117586356
870	0.1116806943
871	0.1115230701
872	0.1113671597
873	0.1112061252
874	0.1110744561
875	0.1109195143
876	0.1108237741
877	0.1107149597
878	0.1106108046
879	0.1104357523
880	0.1102927481
881	0.1101575615
882	0.1100262616
883	0.1098711623
884	0.1097105344
885	0.1095919052
886	0.1094760597
887	0.1093538935
888	0.1092962261
889	0.1091691038
890	0.1089918981
891	0.1089081513
892	0.108788319
893	0.1086990711
894	0.1085488909
895	0.1084170729
896	0.1082416313
897	0.1081398461
898	0.1079960526
899	0.1079062251
900	0.1077796989
901	0.1077326104
902	0.107578745
903	0.1074091662
904	0.107295668
905	0.107124851
906	0.1069885615
907	0.1068807885
908	0.1067808386
909	0.1065928719
910	0.1065038836
911	0.1064044033
912	0.1062806641
913	0.1061262
914	0.1059215354
915	0.1058230491
916	0.105715306
917	0.1056392881
918	0.1055517605
919	0.1054497994
920	0.1053559498
921	0.1052615873
922	0.1050947183
923	0.1049986722
924	0.1048718822
925	0.1047382491
926	0.1045928648
927	0.1044492769
928	0.1043747892
929	0.1043093268
930	0.1041966473
931	0.104109249
932	0.103995542
933	0.1038308266
934	0.1036692862
935	0.103577682
936	0.1034631247
937	0.1033292052
938	0.1031853619
939	0.1029706573
940	0.1028890064
941	0.1026915708
942	0.1025324937
943	0.1024535165
944	0.1023611257
945	0.1022684609
946	0.1021941398
947	0.102056735
948	0.1019539494
949	0.101853819
950	0.1016989592
951	0.1016420118
952	0.1015113266
953	0.1013717486
954	0.101250321
955	0.101104394
956	0.1009712263
957	0.1008053671
958	0.1007028216
959	0.1006290994
960	0.1005269528
961	0.1004199758
962	0.1003341489
963	0.1002343139
964	0.1001036205
965	0.1000276505
966	0.09987783216
967	0.09976326373
968	0.09962084569
969	0.09951524953
970	0.09940325791
971	0.09924086541
972	0.09911693601
973	0.09896040578
974	0.09887689513
975	0.09875877828
976	0.09861148432
977	0.098494603
978	0.09833007234
979	0.09826328711
980	0.09816404924
981	0.09803906917
982	0.09789946523
983	0.09779507689
984	0.0976386996
985	0.09752104715
986	0.09736581082
987	0.09721944642
988	0.09715025116
989	0.09709659017
990	0.09697924721
991	0.09690610013
992	0.09680293308
993	0.09665449477
994	0.09652723118
995	0.09642866085
996	0.0962712533
997	0.09619795476
998	0.09606659924
999	0.09595747915
